index,value
0,149
1,142
2,139
3,139
4,137
5,137
6,139
7,126
8,135
9,134
10,134
11,137
12,141
13,142
14,147
15,143
16,147
17,148
18,148
19,143
20,138
21,136
22,134
23,133
24,134
25,135
26,133
27,124
28,127
29,126
30,135
31,136
32,138
33,137
34,137
35,139
36,141
37,147
38,141
39,142
40,138
41,137
42,135
43,135
44,133
45,133
46,133
47,125
48,127
49,126
50,134
51,137
52,137
53,140
54,139
55,139
56,141
57,148
58,147
59,141
60,137
61,133
62,134
63,133
64,131
65,134
66,132
67,125
68,127
69,125
70,132
71,135
72,139
73,141
74,143
75,141
76,144
77,146
78,147
79,142
80,139
81,135
82,134
83,135
84,135
85,133
86,134
87,123
88,127
89,127
90,132
91,143
92,140
93,139
94,143
95,143
96,143
97,149
98,147
99,141
100,139
101,136
102,135
103,132
104,125
105,123
106,125
107,121
108,125
109,127
110,135
111,135
112,140
113,139
114,136
115,139
116,147
117,147
118,145
119,146
120,135
121,135
122,127
123,125
124,125
125,126
126,124
127,119
128,121
129,122
130,126
131,133
132,133
133,140
134,141
135,140
136,143
137,145
138,143
139,142
140,136
141,134
142,134
143,133
144,127
145,126
146,132
147,123
148,135
149,123
150,133
151,134
152,137
153,138
154,139
155,141
156,135
157,140
158,145
159,143
160,137
161,133
162,125
163,133
164,126
165,126
166,125
167,119
168,121
169,123
170,121
171,135
172,135
173,137
174,141
175,139
176,147
177,148
178,147
179,139
180,135
181,135
182,136
183,133
184,127
185,133
186,133
187,123
188,125
189,121
190,121
191,127
192,135
193,131
194,139
195,137
196,141
197,147
198,143
199,141
200,136
201,135
202,133
203,132
204,124
205,128
206,132
207,108
208,91
209,87
210,93
211,110
212,122
213,133
214,137
215,138
216,147
217,147
218,143
219,145
220,135
221,133
222,133
223,133
224,126
225,125
226,125
227,109
228,93
229,91
230,98
231,112
232,125
233,132
234,137
235,139
236,143
237,147
238,145
239,140
240,137
241,136
242,127
243,133
244,133
245,133
246,135
247,108
248,91
249,89
250,94
251,111
252,121
253,135
254,137
255,139
256,143
257,148
258,143
259,142
260,135
261,137
262,135
263,134
264,127
265,133
266,133
267,107
268,89
269,89
270,95
271,111
272,124
273,127
274,139
275,140
276,147
277,149
278,149
279,147
280,138
281,139
282,135
283,127
284,125
285,125
286,126
287,104
288,83
289,84
290,86
291,105
292,121
293,132
294,137
295,139
296,143
297,149
298,146
299,143
300,137
301,135
302,133
303,127
304,126
305,131
306,134
307,96
308,69
309,67
310,75
311,103
312,119
313,133
314,137
315,139
316,143
317,148
318,143
319,141
320,135
321,132
322,131
323,134
324,127
325,131
326,133
327,103
328,73
329,69
330,76
331,101
332,118
333,125
334,137
335,139
336,146
337,151
338,149
339,147
340,138
341,136
342,132
343,133
344,127
345,127
346,132
347,94
348,59
349,55
350,70
351,95
352,117
353,127
354,139
355,141
356,149
357,151
358,149
359,149
360,137
361,135
362,134
363,135
364,133
365,134
366,136
367,86
368,55
369,56
370,67
371,99
372,118
373,126
374,137
375,139
376,143
377,151
378,146
379,146
380,133
381,127
382,127
